datetime_utc,longitude,latitude,easting_m,northing_m,ortho_ht_m
2018-Jul-25 22:49:10.000,-123.5620700,48.1446978,296991.40,130869.79,1.09
2018-Jul-25 22:49:10.000,-123.5620727,48.1447039,296991.22,130870.47,1.05
2018-Jul-25 22:49:11.000,-123.5620756,48.1447092,296991.03,130871.07,1.11
2018-Jul-25 22:49:12.000,-123.5620824,48.1447194,296990.56,130872.21,1.11
2018-Jul-25 22:49:13.000,-123.5620860,48.1447244,296990.32,130872.79,1.14
2018-Jul-25 22:49:13.000,-123.5620892,48.1447303,296990.10,130873.45,1.08
2018-Jul-25 22:49:14.000,-123.5620926,48.1447362,296989.87,130874.11,1.12
2018-Jul-25 22:49:14.000,-123.5620963,48.1447420,296989.61,130874.76,1.15
2018-Jul-25 22:49:15.000,-123.5621001,48.1447476,296989.35,130875.40,1.16
2018-Jul-25 22:49:16.000,-123.5621041,48.1447533,296989.08,130876.04,1.17
2018-Jul-25 22:49:17.000,-123.5621101,48.1447636,296988.68,130877.21,1.17
2018-Jul-25 22:49:17.000,-123.5621138,48.1447696,296988.42,130877.87,1.18
2018-Jul-25 22:49:18.000,-123.5621164,48.1447746,296988.25,130878.44,1.20
2018-Jul-25 22:49:19.000,-123.5621184,48.1447792,296988.12,130878.95,1.14
2018-Jul-25 22:49:19.000,-123.5621213,48.1447855,296987.92,130879.66,1.16
2018-Jul-25 22:49:20.000,-123.5621242,48.1447914,296987.73,130880.33,1.17
2018-Jul-25 22:49:20.000,-123.5621255,48.1447963,296987.66,130880.88,1.12
2018-Jul-25 22:49:21.000,-123.5621274,48.1448013,296987.54,130881.44,1.16
2018-Jul-25 22:49:22.000,-123.5621292,48.1448063,296987.42,130882.00,1.12
2018-Jul-25 22:49:23.000,-123.5621336,48.1448185,296987.14,130883.36,1.14
2018-Jul-25 22:49:23.000,-123.5621354,48.1448241,296987.03,130883.99,1.14
2018-Jul-25 22:49:24.000,-123.5621372,48.1448300,296986.92,130884.65,1.11
